@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute other_parties {none,'co applicant',guarantor}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
>=200,36,'existing paid',3913,none,1,skilled,good
<0,24,'existing paid',3021,none,1,'unskilled resident',good
'no checking',10,'existing paid',1364,none,1,skilled,good
0<=X<200,12,'existing paid',625,guarantor,1,'unskilled resident',good
<0,12,'existing paid',1200,none,1,skilled,good
'no checking',12,'existing paid',707,none,2,skilled,good
'no checking',24,'delayed previously',2978,none,2,skilled,good
'no checking',15,'existing paid',4657,none,1,skilled,good
'no checking',36,'no credits/all paid',2613,none,2,skilled,good
0<=X<200,48,'existing paid',10961,'co applicant',2,skilled,bad
<0,12,'existing paid',7865,none,1,'high qualif/self emp/mgmt',bad
'no checking',9,'existing paid',1478,none,1,skilled,bad
<0,24,'existing paid',3149,none,1,skilled,good
>=200,36,'existing paid',4210,none,1,skilled,bad
'no checking',9,'existing paid',2507,none,1,'unskilled resident',good
'no checking',12,'existing paid',2141,none,1,skilled,good
0<=X<200,18,'existing paid',866,guarantor,1,'unskilled resident',good
'no checking',4,'critical/other existing credit',1544,none,3,'unskilled resident',good
<0,24,'existing paid',1823,none,1,'high qualif/self emp/mgmt',bad
0<=X<200,6,'existing paid',14555,none,1,'unemp/unskilled non res',bad
0<=X<200,21,'existing paid',2767,none,2,'unskilled resident',bad
'no checking',12,'critical/other existing credit',1291,none,2,skilled,good
<0,30,'existing paid',2522,guarantor,1,skilled,good
<0,24,'existing paid',915,none,1,skilled,bad
'no checking',6,'existing paid',1595,none,1,skilled,good
<0,48,'no credits/all paid',4605,none,2,skilled,bad
'no checking',12,'critical/other existing credit',1185,none,2,skilled,good
'no checking',12,'all paid',3447,none,1,'unskilled resident',good
'no checking',24,'existing paid',1258,none,1,skilled,good
'no checking',12,'critical/other existing credit',717,none,3,skilled,good
'no checking',6,'no credits/all paid',1204,none,1,skilled,good
>=200,24,'existing paid',1925,none,1,skilled,good
'no checking',18,'existing paid',433,'co applicant',1,skilled,bad
<0,6,'critical/other existing credit',666,none,2,'unskilled resident',good
>=200,12,'existing paid',2251,none,1,'unskilled resident',good
0<=X<200,30,'existing paid',2150,guarantor,1,skilled,bad
'no checking',24,'delayed previously',4151,none,2,skilled,good
0<=X<200,9,'existing paid',2030,none,1,skilled,good
0<=X<200,60,'delayed previously',7418,none,1,'unskilled resident',good
'no checking',24,'critical/other existing credit',2684,none,2,'unskilled resident',good
<0,12,'all paid',2149,none,1,skilled,bad
'no checking',15,'existing paid',3812,none,1,skilled,good
'no checking',11,'critical/other existing credit',1154,none,3,'unskilled resident',good
<0,12,'existing paid',1657,none,1,skilled,good
<0,24,'existing paid',1603,none,1,skilled,good
<0,18,'critical/other existing credit',5302,none,3,'high qualif/self emp/mgmt',good
'no checking',12,'critical/other existing credit',2748,none,3,'unskilled resident',good
'no checking',10,'critical/other existing credit',1231,none,2,'unskilled resident',good
0<=X<200,15,'existing paid',802,none,1,skilled,bad
'no checking',36,'critical/other existing credit',6304,none,2,skilled,good
'no checking',24,'existing paid',1533,none,1,skilled,good
<0,14,'existing paid',8978,none,1,'high qualif/self emp/mgmt',bad
'no checking',24,'existing paid',999,none,2,skilled,good
'no checking',18,'existing paid',2662,none,1,skilled,good
'no checking',12,'critical/other existing credit',1402,none,1,skilled,good
0<=X<200,48,'all paid',12169,'co applicant',1,'high qualif/self emp/mgmt',good
0<=X<200,48,'existing paid',3060,none,2,skilled,bad
<0,30,'existing paid',11998,none,1,'unskilled resident',bad
'no checking',9,'existing paid',2697,none,1,skilled,good
'no checking',18,'critical/other existing credit',2404,none,2,skilled,good
<0,12,'existing paid',1262,none,1,'unskilled resident',good
'no checking',6,'existing paid',4611,none,1,skilled,bad
'no checking',24,'existing paid',1901,none,1,'high qualif/self emp/mgmt',good
'no checking',15,'critical/other existing credit',3368,none,2,skilled,good
'no checking',12,'existing paid',1574,none,1,skilled,good
>=200,18,'all paid',1445,none,1,'unskilled resident',good
'no checking',15,'critical/other existing credit',1520,none,1,skilled,good
0<=X<200,24,'critical/other existing credit',3878,none,1,skilled,good
<0,47,'existing paid',10722,none,1,'unskilled resident',good
<0,48,'existing paid',4788,none,1,skilled,good
0<=X<200,48,'delayed previously',7582,none,1,'high qualif/self emp/mgmt',good
0<=X<200,12,'existing paid',1092,guarantor,2,skilled,good
<0,24,'delayed previously',1024,none,1,skilled,bad
'no checking',12,'existing paid',1076,none,1,skilled,good
0<=X<200,36,'existing paid',9398,none,1,'high qualif/self emp/mgmt',bad
<0,24,'critical/other existing credit',6419,none,2,'high qualif/self emp/mgmt',good
>=200,42,'critical/other existing credit',4796,none,1,skilled,good
'no checking',48,'critical/other existing credit',7629,none,2,'high qualif/self emp/mgmt',good
0<=X<200,48,'existing paid',9960,none,1,skilled,bad
'no checking',12,'existing paid',4675,none,1,skilled,good
'no checking',10,'existing paid',1287,'co applicant',1,'unskilled resident',good
'no checking',18,'existing paid',2515,none,1,skilled,good
0<=X<200,21,'critical/other existing credit',2745,none,2,skilled,good
'no checking',6,'existing paid',672,none,1,'unemp/unskilled non res',good
0<=X<200,36,'no credits/all paid',3804,none,1,skilled,bad
>=200,24,'critical/other existing credit',1344,none,2,'unskilled resident',bad
<0,10,'critical/other existing credit',1038,'co applicant',2,skilled,good
'no checking',48,'critical/other existing credit',10127,none,1,skilled,bad
'no checking',6,'existing paid',1543,none,1,skilled,good
'no checking',30,'existing paid',4811,none,1,'unskilled resident',good
<0,12,'existing paid',727,none,1,'unskilled resident',bad
0<=X<200,8,'existing paid',1237,none,1,skilled,bad
0<=X<200,9,'existing paid',276,none,1,'unskilled resident',good
0<=X<200,48,'existing paid',5381,none,1,'unemp/unskilled non res',good
'no checking',24,'existing paid',5511,none,1,skilled,good
>=200,24,'existing paid',3749,none,1,skilled,good
0<=X<200,12,'existing paid',685,none,1,'unskilled resident',bad
>=200,4,'existing paid',1494,none,1,'unskilled resident',good
<0,36,'all paid',2746,none,1,skilled,bad
<0,12,'existing paid',708,guarantor,1,'unskilled resident',good
0<=X<200,24,'existing paid',4351,none,1,'unskilled resident',good
'no checking',12,'critical/other existing credit',701,none,2,skilled,good
<0,15,'delayed previously',3643,none,2,'unskilled resident',good
0<=X<200,30,'critical/other existing credit',4249,none,2,'high qualif/self emp/mgmt',bad
<0,24,'existing paid',1938,none,1,skilled,bad
<0,24,'existing paid',2910,none,1,'high qualif/self emp/mgmt',good
<0,18,'existing paid',2659,none,1,skilled,good
'no checking',18,'critical/other existing credit',1028,none,2,skilled,good
<0,8,'critical/other existing credit',3398,none,2,'unskilled resident',good
'no checking',12,'critical/other existing credit',5801,none,1,skilled,good
'no checking',24,'existing paid',1525,none,1,skilled,good
>=200,36,'existing paid',4473,none,1,skilled,good
0<=X<200,6,'existing paid',1068,none,1,skilled,good
<0,24,'critical/other existing credit',6615,none,2,'high qualif/self emp/mgmt',good
'no checking',18,'critical/other existing credit',1864,none,2,skilled,bad
0<=X<200,60,'existing paid',7408,none,1,'high qualif/self emp/mgmt',bad
'no checking',48,'critical/other existing credit',11590,none,2,'unskilled resident',bad
<0,24,'no credits/all paid',4110,none,2,skilled,bad
<0,6,'critical/other existing credit',3384,none,1,'high qualif/self emp/mgmt',bad
0<=X<200,13,'existing paid',2101,guarantor,1,'unskilled resident',good
<0,15,'existing paid',1275,none,1,skilled,bad
<0,24,'existing paid',4169,none,1,skilled,good
0<=X<200,10,'existing paid',1521,none,1,'unskilled resident',good
0<=X<200,24,'critical/other existing credit',5743,none,2,skilled,good
<0,21,'existing paid',3599,none,1,'unskilled resident',good
0<=X<200,18,'existing paid',3213,none,1,skilled,good
0<=X<200,18,'existing paid',4439,'co applicant',1,'high qualif/self emp/mgmt',good
>=200,10,'existing paid',3949,guarantor,1,'unskilled resident',good
'no checking',15,'critical/other existing credit',1459,none,1,'unskilled resident',good
0<=X<200,13,'critical/other existing credit',882,guarantor,2,skilled,good
0<=X<200,24,'existing paid',3758,none,1,'unemp/unskilled non res',good
'no checking',6,'delayed previously',1743,none,2,'unskilled resident',good
0<=X<200,9,'critical/other existing credit',1136,none,2,skilled,bad
'no checking',9,'existing paid',1236,none,1,skilled,good
0<=X<200,9,'existing paid',959,none,1,skilled,bad
'no checking',18,'critical/other existing credit',3229,none,1,'high qualif/self emp/mgmt',good
<0,12,'no credits/all paid',6199,none,2,skilled,bad
'no checking',10,'existing paid',727,none,1,skilled,good
0<=X<200,24,'existing paid',1246,none,1,'unskilled resident',bad
'no checking',12,'critical/other existing credit',2331,'co applicant',1,skilled,good
'no checking',36,'delayed previously',4463,none,2,'high qualif/self emp/mgmt',bad
'no checking',12,'existing paid',776,none,1,skilled,good
<0,30,'existing paid',2406,none,1,skilled,bad
0<=X<200,18,'existing paid',1239,none,1,skilled,good
>=200,12,'existing paid',3399,none,1,'high qualif/self emp/mgmt',good
>=200,12,'delayed previously',2247,none,2,skilled,good
'no checking',6,'existing paid',1766,none,1,skilled,good
<0,18,'existing paid',2473,none,1,'unemp/unskilled non res',bad
'no checking',12,'existing paid',1542,none,1,skilled,good
'no checking',18,'critical/other existing credit',3850,none,2,skilled,good
<0,18,'existing paid',3650,none,1,skilled,good
<0,36,'existing paid',3446,none,1,skilled,bad
0<=X<200,18,'existing paid',3001,none,1,skilled,good
'no checking',36,'existing paid',3079,none,1,skilled,good
'no checking',18,'critical/other existing credit',6070,none,2,skilled,good
'no checking',10,'critical/other existing credit',2146,none,2,skilled,good
'no checking',60,'critical/other existing credit',13756,none,1,'high qualif/self emp/mgmt',good
0<=X<200,60,'all paid',14782,none,2,'high qualif/self emp/mgmt',bad
<0,48,'all paid',7685,guarantor,1,skilled,bad
'no checking',18,'delayed previously',2320,none,2,skilled,good
'no checking',7,'delayed previously',846,none,1,skilled,good
0<=X<200,36,'existing paid',14318,none,1,'high qualif/self emp/mgmt',bad
'no checking',6,'critical/other existing credit',362,none,2,'unskilled resident',good
<0,20,'existing paid',2212,none,1,skilled,good
0<=X<200,18,'existing paid',12976,none,1,'high qualif/self emp/mgmt',bad
'no checking',22,'existing paid',1283,none,1,skilled,good
>=200,12,'existing paid',1330,none,1,skilled,good
'no checking',30,'delayed previously',4272,none,2,'unskilled resident',good
'no checking',18,'critical/other existing credit',2238,none,2,skilled,good
'no checking',18,'existing paid',1126,none,1,skilled,good
0<=X<200,18,'critical/other existing credit',7374,none,2,'high qualif/self emp/mgmt',good
0<=X<200,15,'critical/other existing credit',2326,none,1,skilled,good
'no checking',9,'existing paid',1449,none,2,skilled,good
'no checking',18,'existing paid',1820,none,1,'high qualif/self emp/mgmt',good
0<=X<200,12,'existing paid',983,none,1,'unskilled resident',good
<0,36,'existing paid',3249,none,1,'high qualif/self emp/mgmt',good
<0,6,'critical/other existing credit',1957,none,1,skilled,good
'no checking',9,'critical/other existing credit',2406,none,1,'high qualif/self emp/mgmt',good
0<=X<200,39,'delayed previously',11760,none,1,skilled,good
<0,12,'existing paid',2578,none,1,'high qualif/self emp/mgmt',good
<0,36,'critical/other existing credit',2348,none,2,skilled,good
0<=X<200,12,'existing paid',1223,none,2,skilled,bad
'no checking',24,'critical/other existing credit',1516,none,2,'unskilled resident',good
'no checking',18,'existing paid',1473,none,1,skilled,good
0<=X<200,18,'critical/other existing credit',1887,none,2,skilled,good
'no checking',24,'delayed previously',8648,none,2,skilled,bad
'no checking',14,'delayed previously',802,none,2,'unskilled resident',good
0<=X<200,18,'delayed previously',2899,none,1,skilled,good
0<=X<200,24,'existing paid',2039,none,1,skilled,bad
'no checking',24,'critical/other existing credit',2197,none,2,skilled,good
<0,15,'existing paid',1053,none,1,skilled,good
'no checking',24,'existing paid',3235,none,1,'high qualif/self emp/mgmt',good
>=200,12,'critical/other existing credit',939,none,3,skilled,bad
0<=X<200,24,'existing paid',1967,none,1,skilled,good
'no checking',33,'critical/other existing credit',7253,none,2,'high qualif/self emp/mgmt',good
'no checking',12,'critical/other existing credit',2292,none,2,'high qualif/self emp/mgmt',bad
'no checking',10,'existing paid',1597,none,1,'unskilled resident',good
<0,24,'existing paid',1381,none,1,skilled,bad
'no checking',36,'critical/other existing credit',5842,none,2,skilled,good
<0,12,'existing paid',2579,none,1,'unskilled resident',bad
<0,18,'delayed previously',8471,none,2,skilled,good
'no checking',21,'existing paid',2782,none,1,'high qualif/self emp/mgmt',good
0<=X<200,18,'existing paid',1042,none,1,skilled,bad
'no checking',15,'existing paid',3186,none,1,skilled,good
0<=X<200,12,'existing paid',2028,none,1,skilled,good
0<=X<200,12,'critical/other existing credit',958,none,2,'unskilled resident',good
'no checking',21,'delayed previously',1591,none,2,'high qualif/self emp/mgmt',good
0<=X<200,12,'existing paid',2762,none,1,skilled,bad
0<=X<200,18,'existing paid',2779,none,1,skilled,good
'no checking',28,'critical/other existing credit',2743,none,2,skilled,good
'no checking',18,'critical/other existing credit',1149,none,2,skilled,good
'no checking',9,'existing paid',1313,none,1,skilled,good
<0,18,'critical/other existing credit',1190,none,3,'unemp/unskilled non res',bad
'no checking',5,'existing paid',3448,none,1,'unskilled resident',good
0<=X<200,24,'existing paid',11328,'co applicant',2,'high qualif/self emp/mgmt',bad
<0,6,'critical/other existing credit',1872,none,3,'high qualif/self emp/mgmt',good
'no checking',24,'critical/other existing credit',2058,none,2,skilled,good
<0,9,'existing paid',2136,none,1,skilled,good
0<=X<200,12,'existing paid',1484,none,1,skilled,bad
'no checking',6,'existing paid',660,none,1,'unskilled resident',good
'no checking',24,'critical/other existing credit',1287,none,2,skilled,good
<0,42,'critical/other existing credit',3394,'co applicant',2,'unemp/unskilled non res',good
>=200,12,'all paid',609,none,1,'unemp/unskilled non res',bad
'no checking',12,'existing paid',1884,none,1,'high qualif/self emp/mgmt',good
<0,12,'existing paid',1620,'co applicant',1,skilled,good
0<=X<200,20,'delayed previously',2629,none,2,skilled,good
'no checking',12,'existing paid',719,none,1,'unskilled resident',bad
